id,mes,data_registro,placa,item,fonte,tipo_manutencao,status,ordem_servico,conclusao,data_servico
110,JULHO,2025-07-25,GAT2I32,FAIXA REFLETIVA DO TANQUE,CHECKLIST,CORRETIVA,PENDENTE,,,
111,JULHO,2025-07-25,GAT5D14,FREIO DE MAO VAZANDO,CHECKLIST,CORRETIVA,PENDENTE,,,
112,JULHO,2025-07-25,GAT5D14,PLACA DO CAVALO DESBOTANDO,CHECKLIST,CORRETIVA,PENDENTE,,,
113,JULHO,2025-07-25,GAP2B81,LAVAR E LUBRIFICAR,CHECKLIST,CORRETIVA,PENDENTE,,,
114,JULHO,2025-07-25,QGZ7E38,FALTANDO STEP,CHECKLIST,CORRETIVA,CONCLUÍDO,,FINALIZADO,
115,JULHO,2025-07-25,GAT9I74,VERIFICAR TANQUES COM VAZAMENTO,CHECKLIST,CORRETIVA,CONCLUÍDO,0040005599,TROCA DAS BORRACHAS,2025-08-06
116,JULHO,2025-07-28,GAT5C86,BARULHO NAS BASES DA CABINE,CHECKLIST,CORRETIVA,PENDENTE,,,
117,JULHO,2025-07-28,GAT9I43,LANTERNA TRASEIRA TRINCADA LADO DIREITO E CORUJINHA,CHECKLIST,CORRETIVA,PENDENTE,,,
118,JULHO,2025-07-28,GAT9I43,LADO DIREITO TANQUE 3,CHECKLIST,CORRETIVA,PENDENTE,,,
119,JULHO,2025-07-28,GAT9I43,LADO ESQUERDO TANQUE 2,CHECKLIST,CORRETIVA,PENDENTE,,,
120,JULHO,2025-07-28,GAT9I43,BOTÃO DO VOLANTE FALTANDO,CHECKLIST,CORRETIVA,PENDENTE,,,
121,JULHO,2025-07-28,GAT9I43,CABINE COM SELO RASGADO,CHECKLIST,CORRETIVA,PENDENTE,,,
122,AGOSTO,2025-08-12,QGW7F14,PNEUS ATUALIZADOS CONJUNTO QGV3D12/3D32 OBS 3D12 3E LDI/E 13606/607 E PNEUS EM ARACATUBA 1ELDI 10827,OUTRO,,CONCLUÍDO,,CONJUNTO,2025-08-12
123,JULHO,2025-07-28,QGW7E94,ABS COM DEFEITO,CHECKLIST,CORRETIVA,PENDENTE,,,
124,JULHO,2025-07-07,GAT5D72,ABS COM FALHA,CHECKLIST,CORRETIVA,PENDENTE,,,
